PropertyAddress,MoveOut,MoveIn
1209-B Sedgefield,9/5/2016,9/20/2016
312-206 N Buchanan,9/15/2016,
1116-B Ninth,9/30/2016,10/21/2016
1011-9 Morreene ,9/30/2016,10/15/2016
1611 Ward,9/30/2016,10/15/2016
1010-A Clarendon ,9/30/2016,10/7/2016
1111-A Georga,9/30/2016,10/7/2016
102-A W Club,9/30/2016,10/1/2016
312-101 N Buchanan,9/30/2016,
312-205 N buchanan,9/30/2016,
312-104 Buchanan,10/1/2016,
312-304 N Buchanan,10/20/2016,
1007 Rosehill,10/27/2016,12/1/2016
1400 Ruffin,10/31/2016,11/1/2016
312-105 N Buchanan,10/31/2016,
312-202 N Buchanan,10/31/2016,
1005 Broad St,10/31/2016,
101 E Lakeview,10/31/2016,
1331 Hamlin Rd,11/6/2016,
2718 Omah,11/28/2016,1/29/2017
2515 Wilbon,11/28/2016,12/1/2016
2718 Omah,11/28/2016,
2020-B Englewood,11/30/2016,1/1/2017
2020-B Englewood,11/30/2016,1/1/2017
5 Drummond,11/30/2016,12/5/2016
2806 Farthing St,12/14/2016,12/15/2016
2211-B W Knox,12/15/2016,12/22/2016
2208 W Knox,12/27/2016,12/28/2016
300 W Lavender,12/31/2016,3/13/2017
2607 Shenandoah,12/31/2016,1/20/2017
2607 Shenandoah,12/31/2016,1/20/2017
904 Rome Ave,12/31/2016,1/6/2017
904 Rome Ave,12/31/2016,1/6/2017
312-102 N Buchanan,12/31/2016,
312-306 N Buchanan,12/31/2016,
312-301 N Buchanan,12/31/2016,
323 Goodwin,12/31/2016,
300 W Lavender,12/31/2016,
3619 C View,1/5/2017,2/1/2017
3619 C View,1/5/2017,
213 Northwoods,1/6/2017,5/19/2017
213 Northwoods,1/6/2017,
1008 Hale St,1/14/2017,1/15/2017
1008 Hale St,1/14/2017,1/15/2017
810-A Gerard St,1/15/2017,4/1/2017
1002 Hale St,1/15/2017,2/1/2017
810-A Gerard St,1/15/2017,
911-A Rome,1/27/2017,1/27/2017
911-A Rome,1/27/2017,1/27/2017
1318-A Marne Ave,1/31/2017,5/4/2017
1605-B W Club,1/31/2017,3/13/2017
2113-B Peppertree,1/31/2017,3/10/2017
410 W Hill,1/31/2017,3/1/2017
5 Drummond,1/31/2017,2/24/2017
6480 Guess Rd,1/31/2017,2/20/2017
407 Sapphire,1/31/2017,2/10/2017
407 Sapphire,1/31/2017,2/10/2017
1406-D Markham,1/31/2017,2/1/2017
1406-D Markham,1/31/2017,2/1/2017
1006-A Clarendon,1/31/2017,2/1/2017
1318-A Marne Ave,1/31/2017,
2113-B Peppertree,1/31/2017,
1006-B Clarendon,2/16/2017,2/17/2017
1015-B Clarendon,2/17/2017,4/1/2017
1015-B Clarendon,2/17/2017,
1011-4 Morreene,2/28/2017,4/29/2017
2105-3 Lafayette,2/28/2017,4/15/2017
21 Signet,2/28/2017,4/15/2017
1003-B Broad,2/28/2017,3/15/2017
409 Newsom St,2/28/2017,3/15/2017
914-1 Monmouth ,2/28/2017,3/6/2017
2720 Omah,2/28/2017,
1011-4 Morreene,2/28/2017,
1003-B Broad,2/28/2017,
922-B Hale St,3/23/2017,3/24/2017
8 Fashion Place,3/24/2017,3/29/2017
920-A Hale St,3/27/2017,5/1/2017
1505 Clermont,3/31/2017,7/14/2017
919 Buchanan Back,3/31/2017,7/1/2017
4214-A Oran,3/31/2017,7/1/2017
2211-B Knox,4/9/2017,4/10/2017
635B W Club,4/15/2017,8/21/2017
120 Newell,4/24/2017,5/20/2017
906 Hale,4/24/2017,5/12/2017
5 Rosemeade,4/24/2017,5/12/2017
924-A Alabama,4/30/2017,7/28/2017
910 Arnette DOWN,4/30/2017,7/1/2017
1318-D Marne,4/30/2017,7/1/2017
15 Hawthorne,4/30/2017,6/1/2017
506 Trinity,4/30/2017,5/25/2017
1007.5 Rosehill ,4/30/2017,5/16/2017
1011-18 Morreene,4/30/2017,5/15/2017
108 W Club,4/30/2017,5/10/2017
909-B Rome,4/30/2017,5/6/2017
1019-B Ninth,4/30/2017,5/1/2017
2728 Holloway St,4/30/2017,1/1/2017
1209-A Sedgefield ,5/5/2017,5/19/2017
109 W Main St,5/6/2017,5/19/2017
1013-2 Ninth,5/15/2017,8/10/2017
1013-1 Ninth,5/19/2017,6/1/2017
1015-3 Ninth,5/31/2017,1/1/2018
8 Porter Circle,5/31/2017,8/25/2017
2631 Lawndale,5/31/2017,7/24/2017
1011 Green ,5/31/2017,7/21/2017
4 Porter Circle,5/31/2017,7/15/2017
1011-3 Ninth,5/31/2017,7/15/2017
913-B Rosehill,5/31/2017,7/15/2017
2908 Elgin ,5/31/2017,7/13/2017
908-B Rosehill,5/31/2017,7/10/2017
705 Lakewood,5/31/2017,7/8/2017
913-A Rosehill,5/31/2017,7/3/2017
1015-1 Ninth,5/31/2017,7/1/2017
1322-C Marne,5/31/2017,7/1/2017
116-B Edgewood,5/31/2017,7/1/2017
923-B Iredell,5/31/2017,7/1/2017
835-A Wilkerson,5/31/2017,6/29/2017
904 Rome Ave,5/31/2017,6/27/2017
912 Rome Ave,5/31/2017,6/25/2017
5114 Long Leaf,5/31/2017,6/23/2017
2635 Chapel Hill,5/31/2017,6/15/2017
1021 Carolina,5/31/2017,6/15/2017
801-B Green,5/31/2017,6/15/2017
100-B W Club,5/31/2017,6/15/2017
1331 Hamlin,5/31/2017,6/15/2017
2718 Highland,5/31/2017,6/15/2017
1603-B W Club,5/31/2017,6/14/2017
2209 W Knox,5/31/2017,6/14/2017
5 Drummond,5/31/2017,6/9/2017
910-B Ninth,5/31/2017,6/1/2017
1007 Ninth,5/31/2017,6/1/2017
913 Hale St,5/31/2017,6/1/2017
1700-Down W Markham,5/31/2017,6/1/2017
1406-D Markham,5/31/2017,6/1/2017
1826 Hideaway Lane,5/31/2017,1/1/2017
901 Washington,5/31/2017,1/1/2017
11 Woodward,5/31/2017,1/1/2017
2302 Pleasant Gree,5/31/2017,1/1/2017
5302 Big Fork ,5/31/2017,
3719 Kenmore,6/1/2017,6/19/2017
1007 Edith,6/5/2017,6/30/2017
2605 Glendale,6/5/2017,6/15/2017
1020 Ninth,6/10/2017,8/1/2017
13 Virginia Dare,6/10/2017,7/1/2017
1011-29 Morreene,6/11/2017,8/11/2017
1011-A Buchanan,6/15/2017,6/25/2017
3503 Cole Mill,6/17/2017,7/1/2017
822 Saratoga,6/17/2017,1/1/2017
911-B Iredell,6/18/2017,6/19/2017
1604 W Club,6/22/2017,6/30/2017
1008 Virgie,6/27/2017,6/28/2017
2105-4 LaFayette,6/30/2017,9/15/2017
2516 Banner ST,6/30/2017,9/1/2017
207-B Bridgefield,6/30/2017,8/18/2017
1713 Avondale,6/30/2017,8/15/2017
819 Burch,6/30/2017,8/11/2017
1726 Vista,6/30/2017,8/11/2017
2504 Green,6/30/2017,8/1/2017
4609 Jimmy Rogers,6/30/2017,8/1/2017
1011-1 Ninth,6/30/2017,7/31/2017
1011-21 Morreene,6/30/2017,7/27/2017
1309 Norton,6/30/2017,7/24/2017
1216 Broad Down,6/30/2017,7/22/2017
1012-B Ninth St,6/30/2017,7/15/2017
2210 W Knox,6/30/2017,7/15/2017
202 e Maynard,6/30/2017,7/15/2017
1209-B Sedgefield,6/30/2017,7/15/2017
44 Justin,6/30/2017,7/15/2017
3707 Crabtree,6/30/2017,7/15/2017
1018 Ninth,6/30/2017,7/14/2017
1919 Ruffin St,6/30/2017,7/14/2017
1927-B Ward,6/30/2017,7/14/2017
713 W Knox,6/30/2017,7/14/2017
2704 Highland,6/30/2017,7/14/2017
913-B Rosehill,6/30/2017,7/14/2017
1704 W Markham,6/30/2017,7/1/2017
910-A Ninth,6/30/2017,7/1/2017
908-A Rosehill,6/30/2017,7/1/2017
704 W Knox,6/30/2017,1/1/2017
2215 Shoreham,6/30/2017,1/1/2017
1714 Roxboro,7/2/2017,7/14/2017
914-2 Monmouth,7/5/2017,10/13/2017
1201-2 N Elizabeth,7/5/2017,7/21/2017
2501-A Chapel Hill,7/6/2017,8/10/2017
3903 Olde Coach,7/15/2017,7/28/2017
905-B Virgie,7/23/2017,7/29/2017
1708-B Englewood,7/24/2017,8/31/2017
1406-B W Markham,7/24/2017,8/1/2017
8 Lure Court,7/31/2017,11/20/2017
914-1 Monmouth ,7/31/2017,11/1/2017
1318-C Marne Ave,7/31/2017,10/4/2017
112 Mt. Evans,7/31/2017,9/15/2017
17-B Alamo,7/31/2017,9/15/2017
904-A Virgie,7/31/2017,9/12/2017
3019 Banner,7/31/2017,9/1/2017
1001 Urban Ave,7/31/2017,8/31/2017
116-A Edgewood,7/31/2017,8/28/2017
1001 Edith,7/31/2017,8/27/2017
906 W Murray,7/31/2017,8/26/2017
2306 W Knox,7/31/2017,8/25/2017
2409 Barrymore,7/31/2017,8/24/2017
1116-A Ninth,7/31/2017,8/19/2017
2200-A Caroline,7/31/2017,8/19/2017
907-B Rome,7/31/2017,8/19/2017
1216-Up Broad,7/31/2017,8/18/2017
1013-B Rosehill,7/31/2017,8/18/2017
416-A Edward ST,7/31/2017,8/17/2017
2401 W Knox,7/31/2017,8/17/2017
1011-32 Morreene,7/31/2017,8/17/2017
915-B Buchanan,7/31/2017,8/15/2017
924 Carolina,7/31/2017,8/14/2017
911-A Clarendon,7/31/2017,8/12/2017
2208 W Knox,7/31/2017,8/11/2017
1006-A Clarendon,7/31/2017,8/11/2017
4100 Five Oaks #54,7/31/2017,8/11/2017
23 Kingsmount,7/31/2017,8/11/2017
1710 Roxboro,7/31/2017,8/11/2017
2025 Pershing ,7/31/2017,8/11/2017
2034 Englewood,7/31/2017,8/11/2017
922-A Hale ST,7/31/2017,8/11/2017
1022 Ninth,7/31/2017,8/11/2017
325 Old Fox,7/31/2017,8/11/2017
1011-30 Morreene,7/31/2017,8/10/2017
915-A Buchanan,7/31/2017,8/9/2017
104-A W Club,7/31/2017,8/9/2017
1222 Nicklaus,7/31/2017,8/7/2017
1002 Trinity,7/31/2017,8/4/2017
1606 Maryland,8/7/2017,8/15/2017
1814 Albany St,8/16/2017,1/1/2017
1015-2 Ninth ,8/17/2017,8/25/2017
1015-2 Ninth ,8/17/2017,
803-D Lancaster,8/24/2017,8/25/2017
1011-20 Morreene,8/31/2017,11/1/2017
710 Soft Tree,8/31/2017,11/1/2017
1001 Eno St,8/31/2017,10/19/2017
1004-B Clarendon,8/31/2017,9/23/2017
723 Carter St,8/31/2017,9/22/2017
116 1/2 Edgewood,8/31/2017,9/10/2017
914 Hale,8/31/2017,9/1/2017
2113 Englewood Up,8/31/2017,8/31/2017
4609 Jimmy Rogers,9/1/2017,1/1/2017
1003-A Broad,9/10/2017,9/11/2017
1109-A Georgia Ave,9/10/2017,1/1/2017
1002-A clarendon,9/22/2017,9/23/2017
913-B Edith St,9/29/2017,9/30/2017
23 Kingsmount,9/30/2017,12/15/2017
1010-A Clarendon,9/30/2017,11/20/2017
1011-10 Morreene Rd,9/30/2017,11/12/2017
1011-11 Morreene,9/30/2017,10/1/2017
18 Fashion Place,9/30/2017,1/1/2017
2409 Barrymore,9/30/2017,1/1/2017
2720 Thoreau,9/30/2017,
213-A Bridgefield,10/2/2017,11/15/2017
1400 Ruffin,10/13/2017,10/14/2017
1426 Hudson,10/22/2017,11/11/2017
1326-D Marne,10/31/2017,3/15/2018
2113-Down Englewood,10/31/2017,1/5/2018
1925 Raj,10/31/2017,12/16/2017
1310-B Marne,10/31/2017,12/1/2017
1201-1 N Elizabeth,10/31/2017,11/10/2017
108-B W Club,10/31/2017,11/1/2017
1004-A Clarendon,10/31/2017,11/1/2017
909-A Rosehill,10/31/2017,11/1/2017
4605 Reigel Wood,10/31/2017,1/1/2017
1326-D Marne,10/31/2017,
905 Carolina,11/8/2017,11/9/2017
1326-C Marne,11/10/2017,3/1/2018
1326-C Marne,11/10/2017,
2501 Farthing,11/19/2017,2/3/2018
2501 Farthing,11/19/2017,
1011-23 Morreene,11/28/2017,12/18/2017
1010 Virgie,11/30/2017,12/15/2017
911-B Rome,11/30/2017,12/11/2017
2515 Wilbon,11/30/2017,12/1/2017
4100 Five Oaks #54,11/30/2017,
1109 Arnette,12/3/2017,12/4/2017
4216 Alston,12/5/2017,4/22/2018
2105-2 LaFayette,12/5/2017,12/18/2017
4216 Alston,12/5/2017,
1009 Edith,12/11/2017,12/12/2017
1006-B Clarendon,12/14/2017,12/15/2017
920-B hale St,12/16/2017,12/17/2017
1013-2 Ninth,12/21/2017,5/3/2018
1013-2 Ninth,12/21/2017,
1800-A N. Alston,12/22/2017,1/31/2018
1800-A N. Alston Ave,12/22/2017,12/23/2017
210 Brassy Creek,12/31/2017,10/18/2018
1011-16 Morreene,12/31/2017,4/2/2018
218 Walsenburg,12/31/2017,1/29/2018
117-B Maynard,12/31/2017,1/1/2018
210 Brassy Creek,12/31/2017,
1011-16 Morreene,12/31/2017,
218 Walsenburg,12/31/2017,
2105-3 Lafayette,1/1/2018,2/21/2018
2105-3 Lafayette,1/1/2018,
12 Riverwalk,1/15/2018,2/20/2018
12 Riverwalk,1/15/2018,
2806 Farthing,1/19/2018,2/1/2018
2806 Farthing,1/19/2018,
4100 Five Oaks #54,1/30/2018,5/1/2018
819 Burch,1/31/2018,5/1/2018
300 W Lavender,1/31/2018,4/20/2018
810-A Gerard St,1/31/2018,2/16/2018
908-B Onslow,1/31/2018,2/9/2018
908-B Onslow,1/31/2018,2/9/2018
810-A Gerard St,1/31/2018,
313 E Trinity,1/31/2018,
819 Burch,1/31/2018,
313 E Trinity,1/31/2018,
3313 Specter,1/31/2018,
313 E Trinity,1/31/2018,
3411 Marquis,2/15/2018,2/15/2018
2008 Englewood,2/27/2018,2/28/2018
4214-B Alston,2/28/2018,5/17/2019
105-B E Delafield,2/28/2018,3/1/2018
1800-B N Alston,2/28/2018,3/1/2018
27 Edgebrook,2/28/2018,
4214-B Alston,2/28/2018,
907-Front Iredell,3/1/2018,3/2/2018
1015-B Clarendon,3/15/2018,3/24/2018
2306 W knox,3/23/2018,3/24/2018
1825 James,3/30/2018,3/31/2018
4721 High Meadow,3/31/2018,6/30/2018
1003-B Broad,3/31/2018,5/14/2018
3313 Specter,3/31/2018,5/12/2018
911-A Rome,3/31/2018,4/6/2018
204 Markham #4,3/31/2018,4/6/2018
1832 Forest,3/31/2018,4/1/2018
708 Lynn,3/31/2018,
908 Rome,4/30/2018,10/15/2018
2523 N. Roxboro,4/30/2018,7/14/2018
913-A Edith,4/30/2018,7/3/2018
1021-A Carolina,4/30/2018,6/15/2018
409 Newsom,4/30/2018,6/1/2018
1011-4 Morreene,4/30/2018,6/1/2018
801-A Green,4/30/2018,5/17/2018
1802-A Alston,4/30/2018,5/12/2018
1109-A Georgia,4/30/2018,5/11/2018
1008 Virgie,4/30/2018,5/8/2018
2211-A W Knox,5/1/2018,6/6/2018
507 Rollesby,5/1/2018,
2105-1 LaFayette,5/4/2018,6/1/2018
905-B Virgie,5/4/2018,5/11/2018
1009 Edith,5/9/2018,5/10/2018
1001-A Carolina,5/12/2018,5/18/2018
1700 W Markham Down,5/25/2018,6/1/2018
1010-A Ninth,5/31/2018,10/10/2018
1006-A Clarendon,5/31/2018,9/27/2018
2629 Lawndale,5/31/2018,8/11/2018
207-B Bridgefield,5/31/2018,8/1/2018
917 Hale,5/31/2018,8/1/2018
1021 Carolina,5/31/2018,7/15/2018
913-B Rosehill,5/31/2018,7/15/2018
1018 Ninth,5/31/2018,7/13/2018
911-A Rosehill,5/31/2018,7/9/2018
1015-2 Ninth,5/31/2018,7/1/2018
1704 W Markham,5/31/2018,7/1/2018
2700 Lawndale,5/31/2018,7/1/2018
1001 Iredell,5/31/2018,7/1/2018
1116-B Ninth,5/31/2018,6/25/2018
1011-1 Ninth,5/31/2018,6/23/2018
1001 Edith,5/31/2018,6/22/2018
914 Ninth,5/31/2018,6/15/2018
907-A Rome,5/31/2018,6/15/2018
1012-A Ninth,5/31/2018,6/9/2018
108-B W Club,5/31/2018,6/8/2018
1011-32 Moreene,5/31/2018,6/8/2018
429 Craven,5/31/2018,6/8/2018
1013-3 Ninth St,5/31/2018,6/8/2018
100B W Club,5/31/2018,6/8/2018
910-B Ninth,5/31/2018,6/7/2018
1002-A Monmouth,5/31/2018,6/5/2018
13 Virginia Dare,5/31/2018,6/1/2018
102-B W Club,5/31/2018,6/1/2018
1013 Edith,5/31/2018,6/1/2018
1007 Ninth,5/31/2018,6/1/2018
1116-A Ninth,5/31/2018,6/1/2018
1822 Piperwood,5/31/2018,
2908 Elgin,6/1/2018,6/8/2018
2105-4 LaFayette,6/2/2018,6/21/2018
2420 Perkins,6/7/2018,6/14/2018
1011-10 Morreene,6/10/2018,6/12/2018
908 Hale ,6/17/2018,6/22/2018
2504 H. Garage,6/20/2018,8/1/2018
1019-A Ninth St,6/23/2018,7/1/2018
1110 Watts,6/30/2018,6/1/2019
711-B W Knox,6/30/2018,2/6/2019
3619 C View,6/30/2018,12/2/2018
904 Rome ,6/30/2018,8/30/2018
2113 UP Englewood,6/30/2018,8/1/2018
910-A Ninth,6/30/2018,8/1/2018
1013-A Rosehill,6/30/2018,8/1/2018
810-A Gerard St,6/30/2018,8/1/2018
1011-28 Morreene,6/30/2018,7/30/2018
108-A W Club Blvd,6/30/2018,7/27/2018
44 Justin,6/30/2018,7/25/2018
213-B Bridgefield,6/30/2018,7/25/2018
1013-1 Ninth,6/30/2018,7/21/2018
102-A W Club,6/30/2018,7/21/2018
3903 Olde Coach,6/30/2018,7/20/2018
1011-A Buchanan,6/30/2018,7/20/2018
1019-B Ninth,6/30/2018,7/20/2018
116-B Edgewood,6/30/2018,7/16/2018
1011 Edith St,6/30/2018,7/15/2018
2401 W Knox,6/30/2018,7/15/2018
3019 Banner,6/30/2018,7/9/2018
907-B Iredell,6/30/2018,7/1/2018
1201-2 N Elizabeth,6/30/2018,
824-B Green,6/30/2018,
711-B W Knox,6/30/2018,
1110 Watts,6/30/2018,
824-B Green,6/30/2018,
4418 Talcott,7/4/2018,7/16/2018
835-A Wilkerson ,7/6/2018,8/1/2018
1021-A Carolina,7/7/2018,7/24/2018
822-B Green,7/7/2018,7/13/2018
2012 Stadium,7/8/2018,7/20/2018
2209 W Knox,7/8/2018,
2113 DOWN Englewood,7/14/2018,7/15/2018
1326 Welcome,7/15/2018,7/20/2018
2518-B Englewood,7/17/2018,8/1/2018
911-B Rosehill,7/26/2018,8/3/2018
37 Forest Green,7/30/2018,
1019 Green St,7/31/2018,2/22/2019
1315-A Ripley,7/31/2018,11/15/2018
2402-A Stadium,7/31/2018,10/5/2018
2602 Bullock,7/31/2018,10/1/2018
116-A Edgewood,7/31/2018,9/11/2018
912 Arnette,7/31/2018,8/24/2018
1011-14 Morreene,7/31/2018,8/20/2018
1006 Virgie,7/31/2018,8/19/2018
2707 Lawndale,7/31/2018,8/17/2018
819 Green,7/31/2018,8/15/2018
913-A Rosehill,7/31/2018,8/14/2018
1002 Trinity Ave,7/31/2018,8/13/2018
1011-11 Morreene,7/31/2018,8/11/2018
911-A Clarendon,7/31/2018,8/11/2018
1008 Hale,7/31/2018,8/11/2018
913-B Edith,7/31/2018,8/10/2018
1011-15 Morreene,7/31/2018,8/10/2018
1022 9th St,7/31/2018,8/10/2018
416-B Edwards St,7/31/2018,8/10/2018
2702 Elgin,7/31/2018,8/10/2018
1222 Nicklaus,7/31/2018,8/10/2018
835-B Wilkerson,7/31/2018,8/10/2018
924-A Alabama,7/31/2018,8/10/2018
6480 Guess Rd,7/31/2018,8/10/2018
1007.5 Rosehill,7/31/2018,8/9/2018
2034 Englewood,7/31/2018,8/7/2018
2403 W Knox,7/31/2018,8/1/2018
914 Hale,7/31/2018,8/1/2018
803-D Lancaster,7/31/2018,8/1/2018
1726 Vista,7/31/2018,
1803 Sassassfras,7/31/2018,
1019 Green St,7/31/2018,
1212 Clarendon,8/3/2018,12/7/2018
1605-A W Club,8/14/2018,8/16/2018
907-B Rome,8/20/2018,8/31/2018
915 Hale St,8/20/2018,8/24/2018
2113-A Peppertree,8/31/2018,11/15/2018
1011-8 Morreene,8/31/2018,9/14/2018
3920 Cole Mill,8/31/2018,9/8/2018
905-A Virgie,8/31/2018,9/8/2018
2204-B Englewood,9/20/2018,9/20/2018
1011-7 Morreene,9/30/2018,10/11/2018
1714 N Roxboro,9/30/2018,10/7/2018
2206-A Englewood,10/1/2018,10/1/2018
1600-A W Club,10/14/2018,10/26/2018
2608 Shenandoah,10/23/2018,12/1/2018
1011-16 Morreene,10/28/2018,11/16/2018
913-B Edith St,10/30/2018,11/1/2018
4218 Alston,10/31/2018,5/20/2019
709 Bolton,10/31/2018,2/23/2019
916-B Alabama,10/31/2018,11/9/2018
309 Ganyard Farm,10/31/2018,
709 Bolton,10/31/2018,
4218 Alston,10/31/2018,
810 Rosehill,11/1/2018,
810 Rosehill,11/1/2018,
1710 N Roxboro,11/15/2018,11/16/2018
1708-A Englewood,11/17/2018,1/1/2019
713 W Knox,12/5/2018,12/6/2018
824-A Green,12/10/2018,1/15/2019
824-A Green,12/10/2018,
3614 Wishart St,12/14/2018,12/15/2018
3614 Wishart St,12/14/2018,12/15/2018
2008 Englewood,12/18/2018,12/27/2018
2008 Englewood,12/18/2018,12/27/2018
922B Hale St,12/18/2018,12/19/2018
922B Hale St,12/18/2018,12/19/2018
1002-A Clarendon,12/20/2018,1/11/2019
1002-A Clarendon,12/20/2018,1/11/2019
1315-C Ripley,12/31/2018,4/29/2019
2703 Lawndale,12/31/2018,4/25/2019
635B W Club,12/31/2018,1/30/2019
1011-21 Morreene,12/31/2018,1/4/2019
1011-21 Morreene,12/31/2018,1/4/2019
1402 Lakewood,12/31/2018,1/1/2019
1402 Lakewood,12/31/2018,1/1/2019
2703 Lawndale,12/31/2018,
635B W Club,12/31/2018,
1315-C Ripley,12/31/2018,
109 W Main,1/2/2019,
1708-A Englewood,1/2/2019,
109 W Main,1/2/2019,
3313 Spector,1/31/2019,2/22/2019
1708-A Englewood,1/31/2019,1/15/2019
1622-A N. Duke St,1/31/2019,
1011-21 Morreene,2/1/2019,
905-B Virgie,2/2/2019,2/8/2019
2306 W Knox,2/2/2019,2/1/2019
723 Carter St,2/6/2019,
1604 Cheshire Bridge,2/15/2019,
1604 Cheshire Bridge,2/15/2019,
407 Sapphire,2/21/2019,3/1/2019
2823-A Broad St,2/28/2019,4/11/2019
1011-2 Morreene Rd,2/28/2019,4/1/2019
335 Shannon Ct,2/28/2019,4/1/2019
1011-14 Morreene,2/28/2019,3/1/2019
911-B Rome Ave,3/6/2019,5/31/2019
1007.5 Rosehill,3/6/2019,3/7/2019
903-back Iredell,3/21/2019,
2200-B Caroline,3/31/2019,6/14/2019
2113-B Peppertree,3/31/2019,6/14/2019
2806 Shenandoah,3/31/2019,5/10/2019
1003 Eno St,3/31/2019,4/9/2019
3 colingdale,3/31/2019,
1109 Arnette,4/1/2019,4/12/2019
908-A Rosehill,4/13/2019,5/1/2019
922B Hale St,4/19/2019,4/20/2019
774 Durham,4/30/2019,6/24/2019
1011-17 Moreene,4/30/2019,6/22/2019
2718 Omah St,4/30/2019,6/4/2019
905 Carolina,4/30/2019,5/31/2019
920-A Hale,4/30/2019,5/22/2019
1007 Rosehill,4/30/2019,5/18/2019
906  Murray Ave,4/30/2019,5/15/2019
4216 S Alston,4/30/2019,5/10/2019
116 Student Place,4/30/2019,
2204-B Caroline,4/30/2019,
819 Nancy,4/30/2019,
201 Albemarle,4/30/2019,
2208 W Knox,5/1/2019,5/17/2019
805 Glendale,5/10/2019,7/1/2019
915-B Buchanan,5/15/2019,6/15/2019
2708-A lawndale,5/15/2019,5/24/2019
920-B Hale,5/15/2019,5/20/2019
1605-A W Club Blvd,5/15/2019,5/16/2019
13 Virginia Dare,5/15/2019,5/16/2019
904-A Virgie St,5/20/2019,6/6/2019
1004-A Clarendon,5/22/2019,
908-B Rosehill,5/25/2019,6/1/2019
1603-B W Club,5/28/2019,5/29/2019
1019-A Ninth,5/31/2019,7/24/2019
911-B Rosehill Ave,5/31/2019,7/15/2019
2631 Lawndale,5/31/2019,7/15/2019
1002 Trinity Ave,5/31/2019,7/1/2019
914 Ninth,5/31/2019,7/1/2019
1011-3 Ninth,5/31/2019,7/1/2019
904 Rome,5/31/2019,7/1/2019
2629 Lawndale,5/31/2019,7/1/2019
911-A Rosehill,5/31/2019,6/29/2019
1902 James,5/31/2019,6/29/2019
1011-22 Morreene,5/31/2019,6/28/2019
1331 Hamlin,5/31/2019,6/28/2019
913-A Rosehill,5/31/2019,6/28/2019
1139 Searstone,5/31/2019,6/26/2019
1016 Minerva Ave,5/31/2019,6/25/2019
1011-18 Moreene,5/31/2019,6/22/2019
1011-10 Morreene,5/31/2019,6/22/2019
5 Drummond,5/31/2019,6/22/2019
806-D Rosehill,5/31/2019,6/20/2019
1001 Iredell,5/31/2019,6/15/2019
1013-2 Ninth ,5/31/2019,6/15/2019
4100 Five Oaks,5/31/2019,6/15/2019
1011-23 Morreene,5/31/2019,6/15/2019
1606 Maryland,5/31/2019,6/14/2019
1705 James St,5/31/2019,6/14/2019
2700 Lawndale,5/31/2019,6/14/2019
2025 Pershing ST,5/31/2019,6/14/2019
822-A Green St,5/31/2019,6/14/2019
100-A W Club,5/31/2019,6/14/2019
120 Newell St,5/31/2019,6/14/2019
60 Justin,5/31/2019,6/10/2019
4212-B S Alston,5/31/2019,6/8/2019
1010 Virgie St,5/31/2019,6/7/2019
910-A Ninth,5/31/2019,6/7/2019
910-B Ninth,5/31/2019,6/7/2019
1011-4 Moreene,5/31/2019,6/4/2019
917 Hale,5/31/2019,6/1/2019
1018 Ninth ,5/31/2019,6/1/2019
1015-2 Ninth,5/31/2019,6/1/2019
1704 W Markham,5/31/2019,6/1/2019
1604 W Club,5/31/2019,6/1/2019
1007 Ninth,5/31/2019,6/1/2019
100-B W Club,5/31/2019,
823 Saratoga,5/31/2019,
2635 Chapel Hill,5/31/2019,
2105-4 LaFayette,5/31/2019,
1412-A Broad St,5/31/2019,
803-B Lancaster,5/31/2019,
1802-A Alston,5/31/2019,
1001 Urban,5/31/2019,
1013-1 Ninth St,5/31/2019,
905-B Virgie,5/31/2019,
1012-A Ninth,5/31/2019,
2613 Chapel Hill,6/5/2019,7/1/2019
2704 Highland Ave,6/5/2019,
1315-B Ripley,6/15/2019,
924-A Alabama,6/15/2019,
117-A Maynard,6/27/2019,7/6/2019
1010-B Ninth,6/30/2019,8/1/2019
116-A E Edgewood,6/30/2019,8/1/2019
907-A Rome,6/30/2019,7/26/2019
919-back N. Buchanan,6/30/2019,7/24/2019
1123 Iredell,6/30/2019,7/15/2019
1209-B Sedgefield,6/30/2019,7/15/2019
4721 High Meadow,6/30/2019,7/15/2019
2126 Sprunt,6/30/2019,7/15/2019
2405 Huron ,6/30/2019,7/15/2019
1015-A Clarendon,6/30/2019,7/15/2019
2308 Albany ,6/30/2019,7/13/2019
908 Hale ,6/30/2019,7/13/2019
3707 Crabtree,6/30/2019,7/12/2019
4426 Ryan St,6/30/2019,7/12/2019
913-A Edith,6/30/2019,7/10/2019
3503 Cole Mill,6/30/2019,
136 Hollyhock,6/30/2019,
4721 High Meadow,6/30/2019,
2908 Elgin St,6/30/2019,
635-B W club,6/30/2019,
2637 Camelia,6/30/2019,
713 W Knox,6/30/2019,
916 Rome ,6/30/2019,
913-B Rosehill Ave,7/1/2019,7/26/2019
410 W Hill,7/6/2019,7/7/2019
1216 Broad down,7/7/2019,
1012-B Ninth St,7/15/2019,7/27/2019
117-B Maynard,7/15/2019,7/25/2019
1315-A Ripley,7/15/2019,7/19/2019
1011-12 Morreene,7/15/2019,
3920 Cole Mill,7/28/2019,
1209-A Sedgefield,7/31/2019,8/11/2019
1209-A Sedgefield,7/31/2019,8/11/2019
710 W Club,7/31/2019,8/10/2019
